treatment,cytokine,pg_ml
PBS,BD-2,244
PBS,BD-2,0
PBS,BD-2,184
PBS,BD-2,22
PBS,BD-2,12
PBS,BD-2,0
E. coli,BD-2,714
E. coli,BD-2,368
E. coli,BD-2,2622
E. coli,BD-2,392
E. coli,BD-2,678
PBS,BD-2,334
PBS,BD-2,122
PBS,BD-2,174
PBS,BD-2,246
E. coli,BD-2,720
E. coli,BD-2,690
E. coli,BD-2,220
E. coli,BD-2,780
Heat-inactivated,BD-2,194
Heat-inactivated,BD-2,0
Heat-inactivated,BD-2,44
Heat-inactivated,BD-2,24
Heat-inactivated,BD-2,40
Heat-inactivated,BD-2,38
Heat-inactivated,BD-2,52
Heat-inactivated,BD-2,0
hypoxia,BD-2,0
hypoxia,BD-2,712
hypoxia,BD-2,0
hypoxia,BD-2,152
hypoxia,BD-2,90
hypoxia,BD-2,222
Heat-inactivated + hypoxia,BD-2,118
Heat-inactivated + hypoxia,BD-2,570
Heat-inactivated + hypoxia,BD-2,52
Heat-inactivated + hypoxia,BD-2,106
Heat-inactivated + hypoxia,BD-2,1554
Heat-inactivated + hypoxia,BD-2,928
Heat-inactivated + hypoxia,BD-2,1094
PBS,IL-6,4.7
PBS,IL-6,40.1
PBS,IL-6,2.2
PBS,IL-6,23
PBS,IL-6,25.4
PBS,IL-6,12.3
PBS,IL-6,4.2
PBS,IL-6,7
E. coli,IL-6,414.3
E. coli,IL-6,34.1
E. coli,IL-6,140.3
E. coli,IL-6,80.5
E. coli,IL-6,46.3
E. coli,IL-6,7
E. coli,IL-6,262.2
Heat-inactivated,IL-6,88.4
Heat-inactivated,IL-6,193.9
Heat-inactivated,IL-6,40.1
Heat-inactivated,IL-6,14.6
Heat-inactivated,IL-6,134.9
Heat-inactivated,IL-6,31.3
Heat-inactivated,IL-6,201.9
Heat-inactivated,IL-6,289.5
hypoxia,IL-6,39.9
hypoxia,IL-6,14.2
hypoxia,IL-6,65.7
hypoxia,IL-6,37.1
hypoxia,IL-6,474
hypoxia,IL-6,120.7
Heat-inactivated + hypoxia,IL-6,54.6
Heat-inactivated + hypoxia,IL-6,146.6
Heat-inactivated + hypoxia,IL-6,39.9
Heat-inactivated + hypoxia,IL-6,12.3
Heat-inactivated + hypoxia,IL-6,60.1
Heat-inactivated + hypoxia,IL-6,69.1
Heat-inactivated + hypoxia,IL-6,127.9
PBS,IL-8,193.9619
PBS,IL-8,1297.25735
PBS,IL-8,151.68475
PBS,IL-8,567.579
PBS,IL-8,788.37195
PBS,IL-8,285.5679
PBS,IL-8,102.23775
PBS,IL-8,170.93865
E. coli,IL-8,3620.47665
E. coli,IL-8,1892.55715
E. coli,IL-8,2397.8517
E. coli,IL-8,1574.70165
E. coli,IL-8,1833.542
E. coli,IL-8,251.1181
E. coli,IL-8,363.0719
Heat-inactivated,IL-8,254.6769
Heat-inactivated,IL-8,2258.1552
Heat-inactivated,IL-8,422.6196
Heat-inactivated,IL-8,202.10565
Heat-inactivated,IL-8,813.64855
Heat-inactivated,IL-8,419.93095
Heat-inactivated,IL-8,1177.40275
Heat-inactivated,IL-8,921.1957
hypoxia,IL-8,1655.4451
hypoxia,IL-8,1489.7566
hypoxia,IL-8,1899.35855
hypoxia,IL-8,1119.3786
hypoxia,IL-8,4398.526
hypoxia,IL-8,2585.18965
Heat-inactivated + hypoxia,IL-8,1717.86005
Heat-inactivated + hypoxia,IL-8,6339.1387
Heat-inactivated + hypoxia,IL-8,1955.4969
Heat-inactivated + hypoxia,IL-8,715.0037
Heat-inactivated + hypoxia,IL-8,2274.38215
Heat-inactivated + hypoxia,IL-8,1304.4872
Heat-inactivated + hypoxia,IL-8,8601.39015
PBS,VEGF,938.2536666667
PBS,VEGF,544.8323333333
PBS,VEGF,318.2668333333
PBS,VEGF,172.574
PBS,VEGF,780.2436666667
PBS,VEGF,357.2941666667
PBS,VEGF,488.693
PBS,VEGF,177.8103333333
E. coli,VEGF,41.4408333333
E. coli,VEGF,143.55
E. coli,VEGF,1363.1433333333
E. coli,VEGF,412.1511666667
E. coli,VEGF,528.7203333333
E. coli,VEGF,518.0321666667
E. coli,VEGF,782.9638333333
Heat-inactivated,VEGF,258.5883333333
Heat-inactivated,VEGF,108.7398333333
Heat-inactivated,VEGF,172.574
Heat-inactivated,VEGF,344.2635
Heat-inactivated,VEGF,154.137
Heat-inactivated,VEGF,448.9763333333
Heat-inactivated,VEGF,0
Heat-inactivated,VEGF,305.2853333333
hypoxia,VEGF,427.92
hypoxia,VEGF,823.2876666667
hypoxia,VEGF,667.6513333333
hypoxia,VEGF,1662.9245
hypoxia,VEGF,175.205
hypoxia,VEGF,0
Heat-inactivated + hypoxia,VEGF,95.1301666667
Heat-inactivated + hypoxia,VEGF,612.6318333333
Heat-inactivated + hypoxia,VEGF,1275.4761666667
Heat-inactivated + hypoxia,VEGF,1177.0991666667
Heat-inactivated + hypoxia,VEGF,1132.1935
Heat-inactivated + hypoxia,VEGF,441.0683333333
Heat-inactivated + hypoxia,VEGF,618.0445
PBS,BD-1,93.883
PBS,BD-1,21.132
PBS,BD-1,1.007
PBS,BD-1,8.6735
PBS,BD-1,12.349
PBS,BD-1,21.131
PBS,BD-1,10.3005
PBS,BD-1,0.758
E. coli,BD-1,10.3575
E. coli,BD-1,10.129
E. coli,BD-1,19.459
E. coli,BD-1,10.3575
E. coli,BD-1,2.096
Heat-inactivated,BD-1,6.011
Heat-inactivated,BD-1,21.984
Heat-inactivated,BD-1,6.58
Heat-inactivated,BD-1,5.754
Heat-inactivated,BD-1,6.6325
Heat-inactivated,BD-1,12.348
Heat-inactivated,BD-1,46.376
Heat-inactivated,BD-1,75.283
hypoxia,BD-1,1.136
hypoxia,BD-1,15.877
hypoxia,BD-1,1.5215
hypoxia,BD-1,15.942
hypoxia,BD-1,1.918
hypoxia,BD-1,0.9235
Heat-inactivated + hypoxia,BD-1,1.923
Heat-inactivated + hypoxia,BD-1,5.4995
Heat-inactivated + hypoxia,BD-1,5.5005
Heat-inactivated + hypoxia,BD-1,4.0125
Heat-inactivated + hypoxia,BD-1,2.827
Heat-inactivated + hypoxia,BD-1,2.3225
Heat-inactivated + hypoxia,BD-1,1.007
Heat-inactivated + hypoxia,BD-1,3.7715
E. coli,BD-2,689
E. coli,BD-2,522
E. coli,BD-2,0
E. coli,BD-2,553
PBS,BD-1,51
PBS,BD-1,167
PBS,BD-1,61
PBS,BD-1,87
PBS,BD-1,123
Heat-inactivated,BD-1,151
Heat-inactivated,BD-1,175
Heat-inactivated,BD-1,201
Heat-inactivated,BD-1,51
E. coli,BD-1,38.01
E. coli,BD-1,78.25
E. coli,BD-1,27.63
E. coli,BD-1,53.72
PBS,BD-1,34.5
PBS,BD-1,26.09
PBS,BD-1,57.38
PBS,BD-1,55.97
