HIO1,HIO2,HIO3,HIO4,HIO5,HIO6,HIO7,HIO8,HIO9,HIO10,HIO11,HIO12,HIO13,HIO14,HIO15,treatment,hr,,,,,,,,,,
1.0000000003,1,1,1,0.9999999998,1,0.9999999999,1,0.9999999998,,,,,,,TNF&IFN,0,,,,,,,,,,
0.9692919467,0.9027791129,0.9304108276,0.8895197404,0.9706039136,0.8708774086,0.9708387436,0.9425495617,0.9725766384,,,,,,,TNF&IFN,0.1666666667,,,,,,,,,,
0.9660335243,0.8408606627,0.8953499617,0.8393536558,0.9663817949,0.7848237495,0.9745224568,0.9183780894,0.9594279014,,,,,,,TNF&IFN,0.3333333333,,,,,,,,,,
0.9590719644,0.7930296682,0.864230047,0.8067930527,0.9641324561,0.7063370422,0.9743460423,0.888805813,0.951911157,,,,,,,TNF&IFN,0.5,,,,,,,,,,
0.9375131131,0.746314797,0.8331906214,0.7709497253,0.9462266522,0.6254581382,0.9647673151,0.8595052978,0.9434593935,,,,,,,TNF&IFN,0.6666666667,,,,,,,,,,
0.9241187453,0.7121667794,0.7931439204,0.7591285229,0.9443630117,0.5554367217,0.9665945682,0.8336077868,0.9348874688,,,,,,,TNF&IFN,0.8333333333,,,,,,,,,,
0.9206446188,0.6832658296,0.7653482035,0.7524770394,0.9376064406,0.4895133582,0.9622132373,0.8070544855,0.9322569158,,,,,,,TNF&IFN,1,,,,,,,,,,
0.9073635025,0.6649913071,0.7531340636,0.745737415,0.932782569,0.4323434716,0.9648344544,0.785773993,0.9284086947,,,,,,,TNF&IFN,1.1666666667,,,,,,,,,,
0.8922396184,0.6558310146,0.7422919332,0.7488030358,0.928386801,0.3847774545,0.9624752486,0.7679205435,0.9247815173,,,,,,,TNF&IFN,1.3333333333,,,,,,,,,,
0.8454411021,0.638305671,0.7216488043,0.7344255915,0.9194979757,0.3356351203,0.9497259301,0.7452261801,0.923945862,,,,,,,TNF&IFN,1.5,,,,,,,,,,
0.8426316091,0.6281423316,0.7109535504,0.7238094196,0.915297014,0.2955582659,0.9546681543,0.7366934628,0.9167045923,,,,,,,TNF&IFN,1.6666666667,,,,,,,,,,
0.8249359781,0.6066251068,0.6912123188,0.7174251807,0.9067393989,0.2485070563,0.9399565299,0.7233031597,0.9108500753,,,,,,,TNF&IFN,1.8333333333,,,,,,,,,,
0.8128966129,0.59163593,0.6759553478,0.6997631215,0.8997553116,0.2134559601,0.928190553,0.7050272329,0.8989074806,,,,,,,TNF&IFN,2,,,,,,,,,,
0.8086027473,0.5814398415,0.6705131004,0.6892762766,0.8933337542,0.1812440699,0.9173401743,0.6917709544,0.896501937,,,,,,,TNF&IFN,2.1666666667,,,,,,,,,,
0.8074933084,0.5632760088,0.6548469566,0.6728867409,0.8856776348,0.1605331755,0.9118520046,0.6847080432,0.8886753342,,,,,,,TNF&IFN,2.3333333333,,,,,,,,,,
0.8084452389,0.5653341834,0.6500135356,0.67910042,0.8893997981,0.1388771057,0.9085669901,0.6867738415,0.8857064727,,,,,,,TNF&IFN,2.5,,,,,,,,,,
0.8084412409,0.5608385712,0.6498902352,0.6881595956,0.8918406253,0.1180872011,0.8951896464,0.6742278073,0.8802175091,,,,,,,TNF&IFN,2.6666666667,,,,,,,,,,
0.8126338832,0.54655845,0.630617492,0.6720949357,0.8816495668,0.1033654221,0.8667398795,0.6593819288,0.8682136341,,,,,,,TNF&IFN,2.8333333333,,,,,,,,,,
0.7937695467,0.5343467844,0.6246078862,0.6725526235,0.8823222792,0.0815535035,0.8724824495,0.6617432553,0.8676168609,,,,,,,TNF&IFN,3,,,,,,,,,,
0.7991814949,0.5442234381,0.6302022608,0.6796559586,0.8743926715,0.075371038,0.8593338673,0.6668211585,0.8788053891,,,,,,,TNF&IFN,3.1666666667,,,,,,,,,,
0.7817149811,0.5268220574,0.6015029127,0.6717510957,0.8760436498,0.0626787158,0.8506396925,0.6594752147,0.8631615482,,,,,,,TNF&IFN,3.3333333333,,,,,,,,,,
0.7830394821,0.5151020543,0.5877881979,0.6601234104,0.861233897,0.0545381177,0.830428873,0.6454216235,0.8537014626,,,,,,,TNF&IFN,3.5,,,,,,,,,,
0.7630687011,0.514228385,0.5852131332,0.6774061457,0.8708721164,0.0513012614,0.8344693056,0.6578178494,0.859168611,,,,,,,TNF&IFN,3.6666666667,,,,,,,,,,
0.7574201432,0.510963181,0.5796998863,0.6843304366,0.8754245889,0.0439808209,0.8121000926,0.6562825604,0.8622867233,,,,,,,TNF&IFN,3.8333333333,,,,,,,,,,
0.7498692976,0.50757112,0.5741007784,0.6846886763,0.8617700466,0.0387746201,0.7773891864,0.6474136716,0.8512173097,,,,,,,TNF&IFN,4,,,,,,,,,,
0.7407236621,0.5023744272,0.5725050367,0.6949783839,0.8616082036,0.0310926969,0.7471883263,0.659926354,0.857468336,,,,,,,TNF&IFN,4.1666666667,,,,,,,,,,
0.7245353549,0.4928845446,0.5601455322,0.6795248743,0.844712399,0.023517818,0.696393285,0.6362722171,0.8385537831,,,,,,,TNF&IFN,4.3333333333,,,,,,,,,,
0.7235575533,0.4885708379,0.5598557971,0.6856963946,0.8431849402,0.0183124302,0.6749698249,0.643117768,0.8295471493,,,,,,,TNF&IFN,4.5,,,,,,,,,,
0.7188689483,0.4862858958,0.5657534596,0.693152307,0.84881812,0.0160952411,0.6587924561,0.6324139461,0.8201468625,,,,,,,TNF&IFN,4.6666666667,,,,,,,,,,
0.7107744792,0.4814138864,0.5589223351,0.6866176251,0.8387627404,0.0129331555,0.634074503,0.6301918406,0.818042096,,,,,,,TNF&IFN,4.8333333333,,,,,,,,,,
0.7076439237,0.4756191333,0.5607763223,0.6966825239,0.8430748782,0.0092787534,0.6337081324,0.6456086236,0.8294133519,,,,,,,TNF&IFN,5,,,,,,,,,,
0.7031361242,0.4708517087,0.5483238105,0.6928663632,0.8367232604,0.0100411812,0.6057457599,0.6318374836,0.8127884807,,,,,,,TNF&IFN,5.1666666667,,,,,,,,,,
0.6977090448,0.4732641841,0.5513528286,0.7020937852,0.8341000326,0.0106935988,0.5935891072,0.632259367,0.809520096,,,,,,,TNF&IFN,5.3333333333,,,,,,,,,,
0.6944951925,0.4666081123,0.5505413156,0.7067053114,0.8404357495,0.0034219516,0.5767894861,0.6425552235,0.8082994432,,,,,,,TNF&IFN,5.5,,,,,,,,,,
0.6909266419,0.4637618469,0.5464221933,0.7169310774,0.8430002594,0.0039922769,0.5484908124,0.645832108,0.8059300751,,,,,,,TNF&IFN,5.6666666667,,,,,,,,,,
0.6702145164,0.4439643466,0.5255080009,0.6932743902,0.8213211195,0,0.5028846691,0.6322998584,0.7951406877,,,,,,,TNF&IFN,5.8333333333,,,,,,,,,,
0.6630230148,0.4381323057,0.5170637663,0.6890076131,0.8126494239,0,0.4773864591,0.6323841616,0.7917051668,,,,,,,TNF&IFN,6,,,,,,,,,,
0.655685134,0.4315422306,0.5071419733,0.6915360784,0.8124155578,0,0.4549515938,0.6333970874,0.7849295271,,,,,,,TNF&IFN,6.1666666667,,,,,,,,,,
0.6416190594,0.4351431784,0.5072130142,0.6928196332,0.8049620325,0,0.4358739467,0.6309971278,0.7810413572,,,,,,,TNF&IFN,6.3333333333,,,,,,,,,,
0.6265979435,0.4219418845,0.4981231298,0.6880637125,0.7935385669,0,0.4156629958,0.621861262,0.7762163778,,,,,,,TNF&IFN,6.5,,,,,,,,,,
0.6324484029,0.423255614,0.4965966177,0.689884515,0.8007008358,0,0.4069287916,0.6213765295,0.7633285082,,,,,,,TNF&IFN,6.6666666667,,,,,,,,,,
0.6276564954,0.4262022757,0.5036787029,0.69718314,0.7931270101,0,0.3922175149,0.6086033586,0.758835281,,,,,,,TNF&IFN,6.8333333333,,,,,,,,,,
0.6159543292,0.4276192328,0.5057399928,0.7060558126,0.7868355847,0,0.3779081158,0.610444004,0.7514308716,,,,,,,TNF&IFN,7,,,,,,,,,,
0.616437271,0.4213380817,0.502066563,0.7000845193,0.7842144422,0,0.3650865386,0.6107549926,0.748963451,,,,,,,TNF&IFN,7.1666666667,,,,,,,,,,
0.6118286014,0.4213823472,0.5060277916,0.7109083449,0.7894942188,0,0.3615576735,0.6194094462,0.7484725666,,,,,,,TNF&IFN,7.3333333333,,,,,,,,,,
0.617200415,0.4315143073,0.5122061888,0.7212703501,0.803526156,0,0.3637876041,0.6309058733,0.7499387765,,,,,,,TNF&IFN,7.5,,,,,,,,,,
0.6140796285,0.4298778962,0.505554884,0.7246447208,0.791759987,0,0.3451103014,0.6215949007,0.7438305016,,,,,,,TNF&IFN,7.6666666667,,,,,,,,,,
0.6145190279,0.4289084065,0.5071225699,0.7247866907,0.7935077189,0,0.3401103385,0.6208971801,0.74171556,,,,,,,TNF&IFN,7.8333333333,,,,,,,,,,
0.5982608445,0.4137304652,0.4861567452,0.7143044095,0.7825549088,0,0.3286308372,0.608831675,0.7332645635,,,,,,,TNF&IFN,8,,,,,,,,,,
0.5853085854,0.4178016029,0.49307393,0.7176411018,0.7750103446,0,0.3114558838,0.5970140075,0.7240873559,,,,,,,TNF&IFN,8.1666666667,,,,,,,,,,
0.5737644774,0.4034134474,0.474873257,0.7078891719,0.7668954201,0,0.3031592825,0.5967629169,0.7175684137,,,,,,,TNF&IFN,8.3333333333,,,,,,,,,,
0.5685323573,0.4069281288,0.4731513908,0.7123984591,0.7718348485,0,0.3012048936,0.6061321278,0.7216010397,,,,,,,TNF&IFN,8.5,,,,,,,,,,
0.5686513601,0.4056414492,0.4804260305,0.7231122473,0.776975891,0,0.2880174247,0.6077528778,0.7207482863,,,,,,,TNF&IFN,8.6666666667,,,,,,,,,,
0.561834737,0.4018675658,0.4777370134,0.7188862395,0.7774098676,0,0.2751420343,0.6008316744,0.7169021128,,,,,,,TNF&IFN,8.8333333333,,,,,,,,,,
0.5570067167,0.404307622,0.4820755584,0.7351893304,0.7839032658,0,0.2722478289,0.6151285891,0.7214802719,,,,,,,TNF&IFN,9,,,,,,,,,,
0.5723589214,0.4111216401,0.4904785585,0.7478810716,0.7953462345,0,0.2668447943,0.6113536924,0.7190836935,,,,,,,TNF&IFN,9.1666666667,,,,,,,,,,
0.5589649503,0.3967613701,0.4797849252,0.7337536735,0.7744932034,0,0.254596456,0.5995490353,0.711718118,,,,,,,TNF&IFN,9.3333333333,,,,,,,,,,
0.5602317731,0.4011338045,0.4875168505,0.7540217827,0.7939862805,0,0.2580757053,0.6174368534,0.7126980954,,,,,,,TNF&IFN,9.5,,,,,,,,,,
0.548300605,0.3892616005,0.4792104918,0.7452213709,0.7921183875,0,0.2492802403,0.6070708172,0.7097258769,,,,,,,TNF&IFN,9.6666666667,,,,,,,,,,
0.5514121308,0.3874413199,0.4772636803,0.7431565351,0.7922405297,0,0.2418405679,0.6124728775,0.7101501299,,,,,,,TNF&IFN,9.8333333333,,,,,,,,,,
0.5410077657,0.3777365896,0.4788811133,0.75983077,0.8055603662,0,0.2380325566,0.6249654812,0.7110537472,,,,,,,TNF&IFN,10,,,,,,,,,,
0.5372763445,0.3666322254,0.471898557,0.7555343029,0.7962109716,0,0.2309488237,0.6187271975,0.7082171943,,,,,,,TNF&IFN,10.1666666667,,,,,,,,,,
0.5465681456,0.3614545388,0.4729530771,0.75636717,0.7959140124,0,0.220636029,0.6155911361,0.7036060603,,,,,,,TNF&IFN,10.3333333333,,,,,,,,,,
0.5443216682,0.3531178583,0.4641176482,0.7540951726,0.7930687448,0,0.2226151468,0.6231300505,0.705266338,,,,,,,TNF&IFN,10.5,,,,,,,,,,
0.5297230093,0.3393416323,0.4540604298,0.7458256891,0.7886000509,0,0.2132058352,0.6121594656,0.6950290271,,,,,,,TNF&IFN,10.6666666667,,,,,,,,,,
0.5271584816,0.3318561402,0.4582698196,0.750100661,0.7844594135,0,0.2088119447,0.6149922592,0.7016069569,,,,,,,TNF&IFN,10.8333333333,,,,,,,,,,
0.5296549816,0.3218415268,0.4599059519,0.7493451268,0.7912505735,0,0.2043267471,0.6116781205,0.7016864658,,,,,,,TNF&IFN,11,,,,,,,,,,
0.5128146599,0.304899068,0.4456872249,0.7418169908,0.7791212416,0,0.1977154411,0.6019355224,0.6955619266,,,,,,,TNF&IFN,11.1666666667,,,,,,,,,,
0.5096956885,0.2997001936,0.4589428983,0.7508033317,0.7916324137,0,0.2009830317,0.6201221383,0.6977214757,,,,,,,TNF&IFN,11.3333333333,,,,,,,,,,
0.5105718487,0.2919751766,0.4658787845,0.7482587629,0.7900483698,0,0.1941565753,0.6132637099,0.6945859144,,,,,,,TNF&IFN,11.5,,,,,,,,,,
0.5011547818,0.277390611,0.456113478,0.7503941095,0.7953218098,0,0.1963073572,0.615262647,0.6928950979,,,,,,,TNF&IFN,11.6666666667,,,,,,,,,,
0.5070061341,0.2693922153,0.4543215108,0.7590252801,0.8023227808,0,0.1954038789,0.6235097173,0.6966996157,,,,,,,TNF&IFN,11.8333333333,,,,,,,,,,
0.4962681905,0.26082296,0.4583857726,0.7659322714,0.8059860367,0,0.1948823282,0.6201059771,0.6942033542,,,,,,,TNF&IFN,12,,,,,,,,,,
0.4927884609,0.2539146441,0.4565408271,0.7658547251,0.7991915011,0,0.1917908219,0.6277491208,0.6939854462,,,,,,,TNF&IFN,12.1666666667,,,,,,,,,,
0.4788508109,0.2340697388,0.4432434291,0.7541071338,0.787381567,0,0.1865050519,0.6254751807,0.69002272,,,,,,,TNF&IFN,12.3333333333,,,,,,,,,,
0.4793772756,0.2300313849,0.4508896309,0.7680642271,0.798254683,0,0.1825038429,0.6127175096,0.6780084797,,,,,,,TNF&IFN,12.5,,,,,,,,,,
0.4714707915,0.2188864265,0.4492897764,0.7680815672,0.8020721517,0,0.1841465522,0.6243038393,0.6872106268,,,,,,,TNF&IFN,12.6666666667,,,,,,,,,,
0.4769520631,0.209086634,0.4583112397,0.7703141796,0.8019384466,0,0.1833264178,0.6282847693,0.6924941597,,,,,,,TNF&IFN,12.8333333333,,,,,,,,,,
0.4672958087,0.1919850589,0.4499118832,0.7708352723,0.8006769812,0,0.1789643569,0.6313361509,0.687862096,,,,,,,TNF&IFN,13,,,,,,,,,,
0.4638951233,0.1791526871,0.4463472606,0.7550525828,0.7899669696,0,0.1741381738,0.6239064276,0.6791004189,,,,,,,TNF&IFN,13.1666666667,,,,,,,,,,
0.458199132,0.1693222431,0.4461575128,0.7594390583,0.7940447208,0,0.1728240251,0.621553754,0.6830149497,,,,,,,TNF&IFN,13.3333333333,,,,,,,,,,
0.4553440833,0.1615779311,0.4482391484,0.7659238385,0.7935603807,0,0.1724260638,0.6320748447,0.6887275369,,,,,,,TNF&IFN,13.5,,,,,,,,,,
0.4398265895,0.148005999,0.4404162193,0.7716965773,0.7993700791,0,0.1739782932,0.6335770862,0.6837946211,,,,,,,TNF&IFN,13.6666666667,,,,,,,,,,
0.4436860846,0.1371950993,0.4456066888,0.7736808415,0.8071482437,0,0.1722894722,0.6335930096,0.681535008,,,,,,,TNF&IFN,13.8333333333,,,,,,,,,,
0.4393928647,0.1275766135,0.4513147522,0.7820445537,0.8054073366,0,0.1710442592,0.6306502746,0.6829899069,,,,,,,TNF&IFN,14,,,,,,,,,,
0.443344017,0.1200226257,0.4569963447,0.7913450671,0.8070620359,0,0.1708540658,0.6434165523,0.6852152278,,,,,,,TNF&IFN,14.1666666667,,,,,,,,,,
0.4438758642,0.1032679816,0.4502166847,0.7731058132,0.79415909,0,0.1651995828,0.6443629734,0.6889697556,,,,,,,TNF&IFN,14.3333333333,,,,,,,,,,
0.4370032801,0.0905303488,0.4440917158,0.7888970222,0.8091484097,0,0.1697742305,0.6431826482,0.6826050356,,,,,,,TNF&IFN,14.5,,,,,,,,,,
0.4341494166,0.0826843101,0.4520748331,0.7973079397,0.8127984548,0,0.165121502,0.6417963459,0.6824564612,,,,,,,TNF&IFN,14.6666666667,,,,,,,,,,
0.4313083782,0.072478321,0.4551857877,0.8018055287,0.8134445539,0,0.1659364755,0.6469787961,0.6860190352,,,,,,,TNF&IFN,14.8333333333,,,,,,,,,,
0.4228686499,0.0617770155,0.4588427207,0.8025119636,0.813484156,0,0.1659766817,0.6511505939,0.6832201014,,,,,,,TNF&IFN,15,,,,,,,,,,
0.4256979191,0.0488347096,0.4499079269,0.7943803558,0.8057292467,0,0.1581013782,0.6361317579,0.6792432971,,,,,,,TNF&IFN,15.1666666667,,,,,,,,,,
0.420418305,0.041962081,0.454563008,0.8051107264,0.8114303437,0,0.1604795101,0.6395928989,0.6762371904,,,,,,,TNF&IFN,15.3333333333,,,,,,,,,,
0.4080097473,0.0305960173,0.4475471311,0.7996825611,0.8118047062,0,0.1599156735,0.6461361865,0.6825716574,,,,,,,TNF&IFN,15.5,,,,,,,,,,
0.3953434957,0.0222727343,0.4457296503,0.8037423166,0.8035891081,0,0.1537429232,0.6411630193,0.68087914,,,,,,,TNF&IFN,15.6666666667,,,,,,,,,,
0.3751232826,0.0141596139,0.4388435706,0.8004582568,0.8056455595,0,0.1525261754,0.6378027268,0.6774581793,,,,,,,TNF&IFN,15.8333333333,,,,,,,,,,
0.3771680411,0.0111650283,0.4454841894,0.8091935735,0.8112347192,0,0.1541349852,0.6537625842,0.6822275177,,,,,,,TNF&IFN,16,,,,,,,,,,
0.3698743655,0.0076833126,0.4531857634,0.8129397188,0.8153309005,0,0.1566987695,0.662467747,0.692803595,,,,,,,TNF&IFN,16.1666666667,,,,,,,,,,
0.351681163,0.0059789942,0.4483577422,0.8099941064,0.8089083938,0,0.1537325028,0.6556404521,0.6813523001,,,,,,,TNF&IFN,16.3333333333,,,,,,,,,,
0.3653552306,0.0029109201,0.4602853999,0.8230785765,0.8209900714,0,0.1492773672,0.6437338581,0.6618431637,,,,,,,TNF&IFN,16.5,,,,,,,,,,
0.3448188268,0.0060159015,0.443480573,0.8130239983,0.8118856082,0,0.1512999741,0.6518245706,0.6820498999,,,,,,,TNF&IFN,16.6666666667,,,,,,,,,,
0.3442551197,0,0.4469133341,0.8221251255,0.8186016681,0,0.1492007565,0.6546789835,0.6841011308,,,,,,,TNF&IFN,16.8333333333,,,,,,,,,,
0.3373868052,0,0.4500928531,0.8268825011,0.8211413819,0,0.1487040256,0.6559455962,0.6767014699,,,,,,,TNF&IFN,17,,,,,,,,,,
