"","X1","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","database","comparison","gene_ratio","nfkb","X3","category"
"1","GO:0006493","GO:0006493","protein O-linked glycosylation","24/2156","97/15752",0.00244426782325519,0.0221751044688092,0.0165755855828321,"ADAMTS5/ADAMTSL4/B3GNT3/B3GNT6/B3GNT7/B3GNT8/CHST4/GALNT12/GALNT3/GALNT4/GALNT5/GALNT6/GCNT1/GCNT3/GCNT4/IL15/MUC12/MUC13/MUC2/MUC3A/PGM3/ST8SIA6/TET1/TRAK1",24,"GO","Associated with
bacterial contact
SC-514 suppressed",0.0111317254174397,"SC-514 suppressed","live-HK specific","Mucins"
"2","418990","418990","Adherens junctions interactions","11/986","31/6749",0.0031299713792299,0.0916778713658306,0.086512621483638,"ACTB/ACTG1/CDH1/CDH10/CDH3/CDH8/CDH9/CTNND1/JUP/NECTIN1/PVR",11,"REACTOME","Associated with
bacterial contact
SC-514 suppressed",0.0111561866125761,"SC-514 suppressed","live-HK specific","Epithelial barrier"
"3","GO:0007043","GO:0007043","cell-cell junction assembly","28/2156","98/15752",8.55037177670309e-05,0.00176050818886727,0.00131595565625821,"ACE2/AGT/CAV1/CLDN1/CLDN19/CNTNAP1/CRB3/FRMPD2/FZD5/GJA1/GJB1/GPBAR1/HDAC7/JUP/MPP5/MYO1C/OCLN/PARD3/PATJ/PKN2/PKP2/PRKCA/PRKCI/RAMP2/RHOA/RHOC/UGT8/VCL",28,"GO","Associated with
bacterial contact
SC-514 suppressed",0.012987012987013,"SC-514 suppressed","live-HK specific","Epithelial barrier"
"4","GO:0010634","GO:0010634","up-regulation of epithelial cell migration","30/2156","102/15752",2.64882065905813e-05,0.00075064159644599,0.000561094268639195,"ADAM9/AGT/ANGPT4/ANXA3/AQP1/BCAR1/CCR6/CIB1/EDN1/FGF18/FGF7/GLIPR2/HDAC6/HDAC7/HSPB1/HYAL1/ITGA3/PFN1/PRKCA/PTGS2/RAB11A/RREB1/SCARB1/SOX9/TGFB1/TGFBR2/VEGFA/VIL1/WNT5A/ZC3H12A",30,"GO","Associated with
bacterial contact
SC-514 suppressed",0.0139146567717996,"SC-514 suppressed","live-HK specific","Epithelial barrier"
"5","GO:0048565","GO:0048565","digestive tract development","34/2156","145/15752",0.000987770617524713,0.0112452244599844,0.00840565061133341,"ADA/AGR2/ASS1/COBL/CXCL8/DAB1/FGFR2/HMGCS2/HNF1B/IFT172/ITGA6/ITGB4/KIT/LGR4/MYOCD/NKX3-2/NR1H4/NTS/OTC/OXTR/PDGFRA/PDX1/PITX2/RARRES2/SCT/SFRP1/SFRP5/SPDEF/TCF21/TCF7L2/TGFB1/TGFBR2/THRA/WNT5A",34,"GO","Associated with
bacterial contact
SC-514 suppressed",0.0157699443413729,"SC-514 suppressed","live-HK specific","Development"
"6","421270","421270","Cell-cell junction organization","16/986","50/6749",0.00141006850600499,0.0609686763548825,0.0575336222500282,"ACTB/ACTG1/CDH1/CDH10/CDH3/CDH8/CDH9/CRB3/CTNND1/JUP/MPP5/NECTIN1/PARD3/PATJ/PRKCI/PVR",16,"REACTOME","Associated with
bacterial contact
SC-514 suppressed",0.0162271805273834,"SC-514 suppressed","live-HK specific","Epithelial barrier"
"7","913709","913709","O-linked glycosylation of mucins","16/986","53/6749",0.0027728556939515,0.0868190679347572,0.0819275693240116,"B3GNT3/B3GNT6/B3GNT7/B3GNT8/GALNT12/GALNT3/GALNT4/GALNT5/GALNT6/GCNT1/GCNT3/GCNT4/MUC12/MUC13/MUC2/MUC3A",16,"REACTOME","Associated with
bacterial contact
SC-514 suppressed",0.0162271805273834,"SC-514 suppressed","live-HK specific","Mucins"
"8","GO:0007586","GO:0007586","digestion","39/2156","163/15752",0.000284303340839859,0.00431170212993724,0.00322293803679619,"ACE2/ACO1/APOA1/APOA2/APOA4/AQP1/ENPEP/EZR/FABP1/FABP2/GCNT3/GPR39/KCNN4/LIPC/LIPG/MEP1A/MGAM/MOGAT2/MUC13/MUC2/NPC1L1/NPR3/NR1H3/OPRK1/OXTR/PGC/PLS1/PNLIPRP2/PTGER3/SCARB1/SCT/SCTR/SGK1/SI/SLC15A1/SOX9/VIL1/VIPR1/WNK4",39,"GO","Associated with
bacterial contact
SC-514 suppressed",0.0180890538033395,"SC-514 suppressed","live-HK specific","Development"
"9","5173105","5173105","O-linked glycosylation","18/986","63/6749",0.00304996671263534,0.0916778713658306,0.086512621483638,"ADAMTS5/ADAMTSL4/B3GNT3/B3GNT6/B3GNT7/B3GNT8/GALNT12/GALNT3/GALNT4/GALNT5/GALNT6/GCNT1/GCNT3/GCNT4/MUC12/MUC13/MUC2/MUC3A",18,"REACTOME","Associated with
bacterial contact
SC-514 suppressed",0.0182555780933063,"SC-514 suppressed","live-HK specific","Mucins"
"10","GO:0055123","GO:0055123","digestive system development","40/2156","159/15752",7.53127857401575e-05,0.00162030079035253,0.00121115255435192,"ADA/AGR2/ASS1/C8orf22/CDKN1C/COBL/CXCL8/DAB1/FGFR2/HMGCS2/HNF1B/IFT172/IGF2/INSR/ITGA6/ITGB4/KIT/LGR4/MYOCD/NKX3-2/NR1H4/NTS/OTC/OXTR/PDGFRA/PDX1/PITX2/RARRES2/SCT/SFRP1/SFRP5/SPDEF/TCF21/TCF7L2/TGFB1/TGFBR2/THRA/WLS/WNT5A/XBP1",40,"GO","Associated with
bacterial contact
SC-514 suppressed",0.0185528756957328,"SC-514 suppressed","live-HK specific","Development"
"11","GO:0007160","GO:0007160","cell-matrix adhesion","41/2156","193/15752",0.0024655604460155,0.0222915422143185,0.0166626211960567,"ACTN1/ACTN3/ACVRL1/ADAM9/AGT/AJUBA/ARHGAP6/BCAM/CIB1/CORO1C/CSF1/CTGF/DMTN/EDA/FGA/FGB/ILK/ITGA3/ITGA6/ITGB2/ITGB4/LAMA5/LIMS1/MKLN1/NPNT/PIK3CB/PLAU/PLEKHA2/PTEN/PTK2/PTPRK/PXN/RAC1/S100A10/SDC4/SFRP1/TRIP6/VCAM1/VCL/VEGFA/VTN",41,"GO","Associated with
bacterial contact
SC-514 suppressed",0.0190166975881262,"SC-514 suppressed","live-HK specific","Epithelial barrier"
"12","GO:0034112","GO:0034112","up-regulation of homotypic cell-cell adhesion","50/2156","202/15752",1.63910520319244e-05,0.000552471337725488,0.000412964725979591,"ADA/ADAM8/AGER/AIF1/BCL10/CARD11/CAV1/CCL2/CD1D/CD24/CD3D/CD3G/CD46/CD55/CD74/CDC42/DMTN/DPP4/EBI3/EFNB1/HHLA2/HLA-DMA/HLA-DPB1/HLA-DQB1/HLA-DRB1/HLA-DRB3/HLA-DRB5/HLA-E/IGF2/IGFBP2/IL15/IL4R/IL6/IL7R/LCK/LGALS8/MALT1/MAP3K8/PIK3R6/PNP/RAC1/RASGRP1/SYK/TGFB1/TGFBR2/TNFRSF14/VCAM1/VNN1/XBP1/YES1",50,"GO","Associated with
bacterial contact
SC-514 suppressed",0.023191094619666,"SC-514 suppressed","live-HK specific","Epithelial barrier"
"13","446728","446728","Cell junction organization","26/986","77/6749",1.80895411794278e-05,0.00410632584773012,0.00387497013685639,"ACTB/ACTG1/ACTN1/CDH1/CDH10/CDH3/CDH8/CDH9/CRB3/CTNND1/FBLIM1/ILK/ITGA6/ITGB4/JUP/LIMS1/LIMS2/MPP5/NECTIN1/PARD3/PARVB/PATJ/PRKCI/PVR/PXN/VASP",26,"REACTOME","Associated with
bacterial contact
SC-514 suppressed",0.026369168356998,"SC-514 suppressed","live-HK specific","Epithelial barrier"
"14","GO:0022409","GO:0022409","up-regulation of cell-cell adhesion","59/2156","239/15752",3.24776005651304e-06,0.000171189432578802,0.000127961746226614,"ADA/ADAM8/AGER/AIF1/BCL10/CARD11/CAV1/CCL2/CD1D/CD24/CD3D/CD3G/CD46/CD55/CD74/CDC42/CX3CL1/DMTN/DPP4/EBI3/EFNB1/FGA/FGB/GCNT2/HHLA2/HLA-DMA/HLA-DPB1/HLA-DQB1/HLA-DRB1/HLA-DRB3/HLA-DRB5/HLA-E/IGF2/IGFBP2/IL15/IL4R/IL6/IL7R/ITGA6/LCK/LGALS8/MALT1/MAP3K8/MYO10/PIK3R6/PNP/PTAFR/RAC1/RASGRP1/SERPINF2/SYK/TGFB1/TGFBR2/TNFRSF14/VCAM1/VNN1/WNT5A/XBP1/YES1",59,"GO","Associated with
bacterial contact
SC-514 suppressed",0.0273654916512059,"SC-514 suppressed","live-HK specific","Epithelial barrier"
"15","GO:0034110","GO:0034110","regulation of homotypic cell-cell adhesion","61/2156","302/15752",0.00101662467297975,0.011401337555907,0.00852234300327707,"ADA/ADAM8/AGER/AIF1/BCL10/CARD11/CAV1/CCL2/CD1D/CD24/CD300A/CD3D/CD3G/CD46/CD55/CD74/CDC42/DMTN/DPP4/DUSP3/EBI3/EFNB1/ERBB2/HHLA2/HLA-DMA/HLA-DPB1/HLA-DQB1/HLA-DRB1/HLA-DRB3/HLA-DRB5/HLA-E/IDO1/IGF2/IGFBP2/IL15/IL4R/IL6/IL7R/LCK/LGALS8/MALT1/MAP3K8/PAG1/PELI1/PIK3R6/PNP/PRKCA/PRKCD/PTGER3/RAC1/RASGRP1/SPINK5/SYK/TGFB1/TGFBR2/TNFRSF14/TNFSF18/VCAM1/VNN1/XBP1/YES1",61,"GO","Associated with
bacterial contact
SC-514 suppressed",0.0282931354359926,"SC-514 suppressed","live-HK specific","Epithelial barrier"
"16","GO:0022407","GO:0022407","regulation of cell-cell adhesion","81/2156","379/15752",2.23779574740001e-05,0.000670194396849174,0.000500961093452048,"ADA/ADAM8/AGER/AIF1/APOA1/ASS1/BCL10/BMP2/CARD11/CAV1/CCL2/CD1D/CD24/CD300A/CD3D/CD3G/CD46/CD55/CD74/CDC42/CDH1/CX3CL1/CXCL12/DMTN/DPP4/DUSP3/EBI3/EFNB1/EPCAM/ERBB2/FGA/FGB/GCNT2/HHLA2/HLA-DMA/HLA-DPB1/HLA-DQB1/HLA-DRB1/HLA-DRB3/HLA-DRB5/HLA-E/IDO1/IGF2/IGFBP2/IL15/IL4R/IL6/IL7R/ITGA6/LCK/LGALS8/MALT1/MAP3K8/MYADM/MYO10/PAG1/PELI1/PIK3R6/PNP/PPARA/PRKCA/PRKCD/PTAFR/PTGER3/PTK2/RAC1/RASGRP1/RGCC/SERPINF2/SPINK5/SPINT2/SYK/TGFB1/TGFBR2/TNFRSF14/TNFSF18/VCAM1/VNN1/WNT5A/XBP1/YES1",81,"GO","Associated with
bacterial contact
SC-514 suppressed",0.037569573283859,"SC-514 suppressed","live-HK specific","Epithelial barrier"
"17","GO:0051493","GO:0051493","regulation of cytoskeleton organization","81/2156","408/15752",0.000300285137208107,0.00447119479724275,0.00334215661186424,"ACTR3/APOA1/ARAP1/ARF1/ARF6/ARHGAP18/ARHGAP6/ARHGEF19/ARHGEF5/ARPC2/ARPC3/BAIAP2L1/BAIAP2L2/BST2/CAPG/CAPN6/CAPZA1/CAPZB/CAV1/CCL11/CCL26/CD2AP/CDC42/CDC42EP5/CHMP1B/CHMP4B/CHMP4C/CIB1/CTGF/CTSV/CXCL12/DMTN/DSTN/EDN1/EML2/ESPN/EVL/F2RL1/HDAC6/ICAM1/ILK/KANK1/KISS1R/LIMA1/LMOD1/MAPK3/MYADM/PARP3/PDGFRA/PFN1/PRKCD/PTK2/RAB6C/RAC1/RAPGEF3/RGCC/RHOA/S100A10/S1PR1/SCIN/SDC4/SERPINF2/SFRP1/SGK1/SHANK1/SIGLEC15/SNCA/SORBS3/SPICE1/SPIRE2/SPTBN1/SSH2/TGFB1/TMOD3/TPM1/TRIOBP/VASP/VIL1/VILL/WASF2/WASH3P",81,"GO","Associated with
bacterial contact
SC-514 suppressed",0.037569573283859,"SC-514 suppressed","live-HK specific","Epithelial barrier"
"18","GO:0001666","GO:0001666","response to hypoxia","87/2156","297/15752",1.24189648250024e-12,2.18201211975293e-09,1.63102404701699e-09,"ACAA2/ADA/ADAM8/ADM/AGER/AJUBA/ANG/ANGPT4/APAF1/AQP1/ASCL2/ATP1B1/BACH1/BBC3/BDKRB2/BMP2/BNIP3/BNIP3L/CA9/CAMK2D/CAV1/CBFA2T3/CCL2/CD24/CD38/CHCHD2/CLCA1/CPEB2/CST3/CX3CL1/CXCL12/CXCR4/CYGB/DNMT3A/DPP4/DRD2/EDN1/EGLN1/EGLN3/ENG/EPAS1/ERO1A/FABP1/FAM162A/FUNDC1/HIF3A/HMOX1/HSP90B1/ICAM1/KDM3A/LDHA/LIPC/MMP2/MYOCD/NDNF/NDRG1/NPEPPS/P4HB/PDK1/PDK3/PDLIM1/PLAT/PLAU/PLK3/PLOD1/PLOD2/PPARA/PTEN/PTGIS/PTGS2/PYGM/RAMP2/RBPJ/RGCC/RYR2/SFRP1/SHC1/SLC11A2/SLC29A1/SOCS3/STC1/TGFB1/TMBIM6/TRPC6/UCP2/VCAM1/VEGFA",87,"GO","Associated with
bacterial contact
SC-514 suppressed",0.0403525046382189,"SC-514 suppressed","shared","Hypoxia"
"19","GO:0036293","GO:0036293","response to decreased oxygen levels","90/2156","306/15752",3.92241214377547e-13,1.3553266338825e-09,1.01308801697914e-09,"ACAA2/ADA/ADAM8/ADM/AGER/AJUBA/ANG/ANGPT4/APAF1/AQP1/ASCL2/ATP1B1/BACH1/BBC3/BDKRB2/BMP2/BNIP3/BNIP3L/CA9/CAMK2D/CAV1/CBFA2T3/CCL2/CD24/CD38/CHCHD2/CLCA1/CPEB2/CST3/CTGF/CX3CL1/CXCL12/CXCR4/CYGB/DNMT3A/DPP4/DRD2/EDN1/EGLN1/EGLN3/ENG/EPAS1/ERO1A/FABP1/FAM162A/FUNDC1/HIF3A/HMOX1/HSP90B1/ICAM1/KDM3A/LDHA/LIPC/MMP2/MYOCD/NDNF/NDRG1/NPEPPS/OXTR/P4HB/PDK1/PDK3/PDLIM1/PLAT/PLAU/PLK3/PLOD1/PLOD2/PPARA/PPP1R15A/PTEN/PTGIS/PTGS2/PYGM/RAMP2/RBPJ/RGCC/RYR2/SFRP1/SHC1/SLC11A2/SLC29A1/SOCS3/STC1/TGFB1/TMBIM6/TRPC6/UCP2/VCAM1/VEGFA",90,"GO","Associated with
bacterial contact
SC-514 suppressed",0.0417439703153989,"SC-514 suppressed","shared","Hypoxia"
"20","GO:0002009","GO:0002009","morphogenesis of an epithelium","92/2156","489/15752",0.000797535072169186,0.00964176001239399,0.00720708299162062,"ACVRL1/ADM/AGT/AJUBA/APAF1/ARHGEF19/ATP7A/BCL10/BMP2/CA9/CASP8/CCL11/CDC42/COBL/CSF1/CTSV/CTSZ/CXCL10/CXCL12/CYR61/EDN1/ENG/ETV4/FGF7/FGFR2/FLRT3/FOXH1/FREM2/FRZB/FZD5/GDNF/GJA1/GRSF1/HAND1/HAND2/HNF1B/HOXA11/IFT172/IGFBP5/IL6/ILK/IPMK/ITGA5/KDF1/KDM2A/KDM5B/KDM6A/KLHL3/LAMA1/LAMA5/LGR4/LMO4/MLLT3/MPP5/NPNT/NUMB/PARD3/PDX1/PFN1/PITX2/PLOD3/PLXND1/PXN/RAC1/RBPJ/RHOA/RHOC/RIPK4/RNF207/RREB1/RYR2/SALL4/SDC4/SFRP1/SHROOM3/SLC12A2/SOCS3/SOX9/SPINT2/ST14/STARD13/TCF21/TGFB1/TGFBR2/TGIF1/TRIM71/VASP/VCL/VEGFA/WNK4/WNT2/WNT5A",92,"GO","Associated with
bacterial contact
SC-514 suppressed",0.0426716141001855,"SC-514 suppressed","live-HK specific","Development"
"21","GO:0070482","GO:0070482","response to oxygen levels","93/2156","322/15752",5.14257876639157e-13,1.3553266338825e-09,1.01308801697914e-09,"ACAA2/ADA/ADAM8/ADM/AGER/AJUBA/ALOX5/ANG/ANGPT4/APAF1/AQP1/ASCL2/ATP1B1/BACH1/BBC3/BDKRB2/BMP2/BNIP3/BNIP3L/CA9/CAMK2D/CAV1/CBFA2T3/CCL2/CD24/CD38/CHCHD2/CLCA1/CPEB2/CST3/CTGF/CX3CL1/CXCL12/CXCR4/CYGB/DNMT3A/DPP4/DRD2/EDN1/EGLN1/EGLN3/ENG/EPAS1/ERO1A/FABP1/FAM162A/FUNDC1/HIF3A/HMOX1/HSP90B1/ICAM1/KDM3A/LDHA/LIPC/MMP2/MYOCD/NDNF/NDRG1/NPEPPS/OXTR/P4HB/PDK1/PDK3/PDLIM1/PLAT/PLAU/PLK3/PLOD1/PLOD2/PPARA/PPARG/PPP1R15A/PTEN/PTGIS/PTGS2/PYGM/RAMP2/RBPJ/RGCC/RYR2/SFRP1/SHC1/SLC11A2/SLC29A1/SOCS3/STC1/TGFB1/TMBIM6/TRPC6/UCP2/VCAM1/VEGFA/WNT5A",93,"GO","Associated with
bacterial contact
SC-514 suppressed",0.0431354359925789,"SC-514 suppressed","shared","Hypoxia"
"22","GO:0001525","GO:0001525","angiogenesis","104/2156","423/15752",8.39173244519354e-10,2.63260828462145e-07,1.96783848252865e-07,"ACKR3/ACVRL1/ADAM8/ADGRB3/ADM/AGT/AIMP1/ANG/ANGPT4/ANGPTL6/ANPEP/ANXA3/AQP1/BTG1/CASP8/CAV1/CCL11/CCL2/CDC42/CEACAM1/CIB1/CTGF/CX3CL1/CXCL10/CXCL12/CXCL17/CXCL8/CYR61/DAB2IP/DDAH1/EDN1/EFNA1/EGFL7/EGLN1/ENG/ENPEP/EPAS1/ERBB2/FGF18/FGFR2/FOXO4/FZD5/GPI/HAND1/HAND2/HDAC7/HIF3A/HMOX1/HSPB1/HYAL1/IL6/ITGA5/ITGB2/LAMA5/LECT1/LRG1/MAPK14/MMP19/MMP2/MMRN2/NDNF/NOTCH3/NPPB/NR4A1/PDGFRA/PIK3CB/PIK3R6/PITX2/PLAU/PLXND1/PPP1R15A/PRKCA/PTEN/PTGIS/PTGS2/PTK2/PTPRB/RAMP2/RAPGEF3/RBPJ/RGCC/RHOA/RRAS/S1PR1/SERPINF1/SFRP1/SHC1/SP100/SPHK1/SPINK5/STARD13/SYK/TCF21/TGFBR2/THBS2/TMPRSS6/TNFAIP2/TNFAIP3/TYMP/VEGFA/WASF2/WNT5A/XBP1/ZC3H12A",104,"GO","Associated with
bacterial contact
SC-514 suppressed",0.0482374768089054,"SC-514 suppressed","shared","Hypoxia"
"23","GO:00713471","GO:0071347","cellular response to IL-1","20/1469","89/15752",0.00016215588117196,0.0052556978954532,0.00433099885155488,"CCL11/CCL2/CCL26/CHI3L1/CX3CL1/CXCL8/DAB2IP/ICAM1/IL6/IRAK2/MAPK3/NFKB1/PSMB9/PTGER3/PTGIS/RELA/RPS6KA4/SFRP1/TNIP2/ZC3H12A",20,"GO","Associated with
bacterial hypoxia
SC-514 suppressed",0.0136147038801906,"SC-514 suppressed","live-hypoxia specific","Innate and adaptive
defense"
"24","GO:00380611","GO:0038061","NIK/NF-kB signaling","21/1469","107/15752",0.000790403526359668,0.0175985063412516,0.0145021864401643,"AGT/BIRC3/CHI3L1/HDAC7/NFKB1/NFKB2/PSMA6/PSMA7/PSMB6/PSMB8/PSMB9/PSMC3/PSMD14/PSMD3/PSMD7/PSMD8/PSME4/REL/RELA/RELB/TNF",21,"GO","Associated with
bacterial hypoxia
SC-514 suppressed",0.0142954390742001,"SC-514 suppressed","live-hypoxia specific","NF-kB signaling"
"25","1169091","1169091","Activation of NF-kB in B cells","16/699","66/6749",0.000884625603037196,0.0408790147087715,0.036659277067691,"NFKB1/NFKBIA/NFKBIB/PSMA6/PSMA7/PSMB6/PSMB8/PSMB9/PSMC3/PSMD14/PSMD3/PSMD7/PSMD8/PSME4/REL/RELA",16,"REACTOME","Associated with
bacterial hypoxia
SC-514 suppressed",0.0228898426323319,"SC-514 suppressed","live-hypoxia specific","NF-kB signaling"
"26","GO:00332091","GO:0033209","tumor necrosis factor-pathway","37/1469","166/15752",4.17134638023281e-07,6.37171125913278e-05,5.25065837015043e-05,"BIRC3/COMMD7/FOXO3/LTB/NFKB2/PLVAP/PSMA6/PSMA7/PSMB6/PSMB8/PSMB9/PSMC3/PSMD14/PSMD3/PSMD7/PSMD8/PSME4/RELB/RFFL/SPHK1/STAT1/TAX1BP1/TNF/TNFAIP3/TNFRSF11B/TNFRSF12A/TNFRSF14/TNFRSF18/TNFRSF19/TNFRSF1B/TNFRSF25/TNFRSF4/TNFRSF9/TNFSF12/TNFSF13/TNFSF18/TRAF3",37,"GO","Associated with
bacterial hypoxia
SC-514 suppressed",0.0251872021783526,"SC-514 suppressed","live-hypoxia specific","Innate and adaptive
defense"
